VLASS1.2.ql.T16t01.J001459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,4.03012,21.9798,0.000719079,0.719079361,0.000790068,0.790067579,0.000602258,0.602258331
VLASS1.2.ql.T17t01.J003809+273000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,9.35588,27.2096,0.0002836,0.28360033,0.00038828,0.388280168,0.0003634,0.363400314
VLASS1.1.ql.T13t03.J015425+093000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,28.8779,9.01172,0.000205545,0.20554516,0.000476971,0.476970622,0.000352699,0.352699326
VLASS1.2.ql.T18t13.J094329+313000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,145.781,31.1998,9.11E-05,0.091137269,0.000419911,0.419910675,0.000388415,0.388414805
VLASS1.2.ql.T23t10.J095149+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,147.557,49.6545,0.000176378,0.176378356,0.00027913,0.279130494,0.000355556,0.355556444
VLASS1.1.ql.T14t16.J101018+143000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,152.482,14.7521,9.11E-05,0.091137269,0.000419911,0.419910675,0.000388415,0.388414805
VLASS1.2.ql.T17t14.J101341+253000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,153.863,25.6622,0.000176378,0.176378356,0.00027913,0.279130494,0.000355556,0.355556444
VLASS1.2.ql.T16t14.J101708+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,154.747,21.237,9.11E-05,0.091137269,0.000419911,0.419910675,0.000388414805,0.3884148047
VLASS1.1.ql.T14t16.J101838+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,154.865,15.0549,0.000176378,0.176378356,0.00027913,0.279130494,0.000355556,0.355556444
VLASS1.2.ql.T17t14.J102213+243000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,155.519,24.4411,0.000350971,0.350970813,0.000372722,0.372721511,0.000646835,0.646834741
VLASS1.2.ql.T15t14.J102431+163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,155.886,16.8358,0.000199912,0.199911722,0.000406626,0.406625962,0.000421608,0.421607507
VLASS1.2.ql.T16t15.J103209+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,157.614,22.7381,0.000350971,0.350970813,0.000372722,0.372721511,0.000646835,0.646834741
VLASS1.2.ql.T16t15.J104042+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,160.202,21.8912,5.38E-05,0.053813413,0.000288317,0.288317004,0.00032438,0.324379886
VLASS1.2.ql.T15t15.J104438+173000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,160.81,17.1813,0.000172794,0.172794107,0.0005163,0.516299672,0.000417579,0.417578988
VLASS1.1.ql.T14t17.J105021+153000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,162.899,15.2274,5.38E-05,0.053813413,0.000288317,0.288317004,0.00032438,0.324379886
VLASS1.1.ql.T14t17.J105425+143000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,163.91,14.9274,0.000333697,0.333696705,0.000288167,0.288166829,0.000387746,0.387746294
VLASS1.2.ql.T19t14.J110958+353000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,166.963,35.0374,0.000199912,0.199911722,0.000406626,0.406625962,0.000421608,0.421607507
VLASS1.2.ql.T15t15.J110957+183000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,166.973,18.8412,0.000333697,0.333696705,0.000288167,0.288166829,0.000387746,0.387746294
VLASS1.1.ql.T13t17.J111420+083000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,168.688,8.29624,0.000661087,0.661087371,0.000439745,0.439745354,0.000437876,0.437875892
VLASS1.1.ql.T13t18.J113009+103000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,172.825,10.2237,0.000165857,0.165857366,0.000368571,0.368570965,0.000355361,0.35536085
VLASS1.1.ql.T12t18.J113001+043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,172.895,4.26432,0.000661087,0.661087371,0.000439745,0.439745354,0.000437876,0.437875892
VLASS1.1.ql.T12t18.J113403+053000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,173.106,5.3825,0.000661087,0.661087371,0.000439745,0.439745354,0.000437876,0.437875892
VLASS1.2.ql.T15t16.J115022+163000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,177.382,16.1215,0.000165857,0.165857366,0.000368571,0.368570965,0.000355361,0.35536085
VLASS1.1.ql.T26t09.J115453+633000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,178.383,63.0665,0.000333656,0.333656196,0.000714814,0.7148141,0.000557804,0.557804051
VLASS1.1.ql.T27t08.J115804+673000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,179.092,67.0768,0.000165857,0.165857366,0.000368571,0.368570965,0.000355361,0.35536085
VLASS1.1.ql.T26t10.J122852+613000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,187.407,61.3,0.000333656,0.333656196,0.000714814,0.7148141,0.000557804051,0.5578040508
VLASS1.1.ql.T16t17.J123155+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,187.62,20.7169,0.000215322,0.215322481,0.000383967,0.383966517,0.000437547,0.437547404
VLASS1.2.ql.T10t19.J123001-023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,187.98,-2.10612,0.000333656,0.333656196,0.000714814,0.7148141,0.000557804,0.557804051
